PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,name,cluster
-4.693878864196283,-1.9611201796889743,-5.565183820785584,-1.954304539004103,-3.736955128170616,2.1850056985242188,-3.7874531157091456,-0.7440004261889606,1.3125243244887377,3.5826879402673297,ibm,0
1.8400726667301748,-0.49723082046069,0.8564268215880679,0.6595768390372049,1.9317841766310515,-1.571681413774864,-0.0011532577888276,1.432127038179806,-0.1135508408700834,-0.8996572506988724,us army,0
-3.5334538133706226,-1.956686034730256,-5.327740464531365,-0.7513152434073969,-2.736768876199412,1.56185598166423,-3.7190828142319856,0.1207420605807994,0.3196515327953163,0.8002167737066836,cognizant technology solutions,0
0.5191538592577005,-0.7983639802888828,-1.583606598901521,-0.0082619280819043,0.3704391608060619,-2.796026439359766,-0.379127448319032,-1.4067018025080298,-2.8496161341807675,1.3425767560407391,walmart,0
-2.363093802806006,1.0403636324982963,-0.5565964242257648,0.3556428336480231,1.4839711380391938,-2.1909080076059517,4.334970001648848,-1.0519702541326486,1.4428436288485404,2.556351859860643,at&t,0
1.1298320217646556,-0.4193481825123037,-0.0586587426728636,0.090522054026878,1.1141425813055423,-1.3709816075589296,0.1685827727937687,-0.1625280688369825,-0.6743427263123722,-0.9608893291441908,united states air force,0
-5.980433748910422,-1.894516348875265,-7.443522392341591,-2.323255937759827,-5.597652418713945,1.9805310538976693,-10.454170266861423,0.1832416239333416,-0.2915049491013592,-0.7543776835041541,pwc,0
-3.281373807592167,-1.573929749615899,-5.189994009155788,-1.4217291263202598,-3.3293891752407005,1.6542469851245387,-6.5857586723296855,1.0833003336909142,0.9252175868487822,1.4557285239818911,deloitte,0
-2.38284127708255,5.932225700009762,-1.1001642683013195,0.5932257081287367,0.4104929119649023,0.0152077685670899,-3.886769489284589,1.7232987409022291,-1.3015329968252232,0.2777085694264621,citi,0
-5.435157166837315,40.11105641080632,-1.1433668326532336,-1.3787730388008137,-1.918391775039118,2.2362796713891586,-0.3290164861160042,-1.0271784284485233,-0.4391647921679836,4.17956283149381,bank of america,3
-0.5294002820445687,-0.8926131375703085,-1.871998897116596,-0.1538087929011601,-1.0395212685931052,-1.6864578627909712,-5.69567389379443,0.6214255215780348,-4.34403700283116,-1.4200168693361577,jpmorgan chase & co.,0
-3.0275794446769764,-1.3592318222792152,-2.028630648983777,-0.0408466434486572,0.3024885799654098,-0.8939759633633296,2.885912592469343,-1.8282038066133697,0.6481184306020479,2.845000560915369,apple,0
-3.0367601752070943,-0.2626502367158024,-1.7784022005888864,-0.3415312593048575,-0.3603661313179628,-0.4344926267617367,0.1124014749995483,0.352898516620061,1.3139569878266082,1.667996282155055,google,0
-2.8670503407429933,-2.209853245015715,-2.411430380542662,0.2356133948329866,-0.094158400891319,-2.255785221444706,0.7296027327991765,-1.521811705315453,1.262765809154599,3.6309455401294977,boeing,0
0.2763008907058616,0.732360665938324,12.314812175655202,-5.195433601022113,-1.9049062923600693,0.4253716425714606,0.3566213291200574,0.2234200697462022,0.4409823622900903,-0.643197496262803,kaiser permanente,0
-1.5220461036254835,-0.3150824891829795,-0.8235085802429777,0.2218995649447845,1.566935643594351,-1.894080387159949,3.801444182492941,-1.6166665281876715,1.9414650950040475,2.518523491188452,ford motor company,0
-3.207623390667868,-1.8056892566748068,-3.811180821410864,-1.0248726631189424,-1.9712245915250677,0.3491093667306886,-0.3638019221119872,-0.8956632895401239,2.5657914068318304,2.891133756692606,intel corporation,0
0.6146381968628014,0.8035851882063872,4.867123368629973,3.069703927599048,2.911641541501297,3.032817485657456,-1.667979983359941,4.722167600186439,2.9722859121870835,-1.2850003036013578,department of veterans affairs,0
-5.446516404693519,-2.6958236205888477,-6.15560125810102,-1.4454369643690297,-3.971325583704958,2.624262230848137,-2.13417823046049,0.101258658786165,3.50984670126954,3.8250812560633807,cisco,0
-1.6477112691585638,-0.9632571479248224,0.6778794423119566,1.4659024212837948,4.486820632451473,-4.994112938814675,9.697463084198166,-1.692956057219265,1.230596945933968,4.128392028169049,target,0
-1.23935566179581,-3.0701971759534312,3.0992706283632447,-3.94149393813516,-2.3352276149015387,0.4867061247684915,-3.6610632322371424,-1.5993015224284008,-3.935779377816267,0.9140386001294296,pfizer,0
-0.302704276723777,-1.6727457465780229,3.9869722438461626,-2.8415109168514574,-0.7412382037510992,-0.44314140369754,-1.6696474611053564,-0.5257948102950503,-1.9225089799608757,-2.791948276587185,unitedhealth group,0
-4.696353278581896,-1.222506798752554,-4.116850973173969,-0.8086914668778468,-1.4621707236331345,-0.4199278482081329,2.52696433959746,-1.7100086549385836,3.6887019782434622,3.194588161425832,dell,0
-5.401865564067358,-3.166006880456953,-5.218972036744643,-1.376095919492127,-2.9416660936305403,-0.1893283591154461,-1.8417196936994729,-2.5602731400519216,1.529544135337322,4.183377097948114,honeywell,0
-4.803073688995413,-2.78055248813245,-4.786248800496237,-0.6784674207681816,-2.093919980760587,-1.0492483764523155,-1.9592259497009867,-1.918454759383521,1.4134838681068822,4.110723946797803,schlumberger,0
-2.5828712050616263,-2.5502554116139446,-2.9257605014075114,-0.6768294058006197,-1.6990817244243137,-1.2949252590119764,-2.1747776867077606,-1.4392612999144807,0.8931518508902463,2.499947600370719,lockheed martin,0
-1.326277397942428,-0.4446100380753126,0.1732622493269354,1.3460610938418325,3.963771300634367,-4.592074410980247,8.24512323330473,-1.9986565710270536,1.2727879393848414,2.9006108097195806,starbucks,0
